method,feat,seq_id,-xent@16,acc 8/16,acc 1/16
permute,location_cand,3,-0.8985359,0.7051282,0.1965812
permute,location_cand,4,-0.8506274,0.7754237,0.17372881
permute,location_cand,5,-0.82349473,0.795082,0.19262294
permute,location_cand,6,-0.8748309,0.795082,0.14344262
permute,location_cand,7,-0.8741189,0.81557375,0.19672132
permute,location_cand,8,-0.83078545,0.7113402,0.185567
permute,location_cand,9,-0.8476099,0.67777777,0.2
permute,location_cand,10,-0.8456008,0.7949791,0.22175732
permute,location_cand,11,-0.546118,0.94699645,0.37102473
permute,location_cand,12,-0.923957,0.7407407,0.17283951
permute,location_cand,13,-0.93381655,0.668,0.072
permute,location_cand,14,-0.9004028,0.792,0.176
permute,location_cand,15,-0.88467246,0.75977653,0.23463687
permute,location_cand,16,-0.854312,0.7181009,0.2908012
permute,location_cand,17,-0.75876576,0.93782383,0.253886
permute,location_cand,18,-0.91246486,0.79693484,0.20306513
permute,location_cand,19,-0.9157265,0.7586207,0.18534483
permute,location_cand,20,-0.9055845,0.7715736,0.14213198
permute,location_cand,21,-0.98342556,0.706,0.124
permute,location_cand,22,-0.93575025,0.74545455,0.16363636
permute,location_cand,23,-0.9550354,0.68356997,0.14807302
permute,location_cand,24,-0.86888254,0.86752135,0.08974359
permute,location_cand,25,-0.9123819,0.7657993,0.15241636
permute,location_cand,26,-0.9856366,0.7290503,0.11731844
permute,location_cand,27,-0.87550735,0.8578199,0.13270143
permute,location_cand,28,-0.82004714,0.8251748,0.24475524
permute,location_cand,29,-0.6402268,0.9291553,0.34604904
permute,location_cand,30,-0.7878596,0.836,0.284
permute,location_cand,31,-0.8002271,0.94,0.16
permute,location_cand,32,-0.8416555,0.83707863,0.21910113
permute,location_cand,33,-0.7140319,0.83516484,0.2802198
permute,location_cand,34,-0.6296138,0.92657346,0.37762237
permute,location_cand,35,-0.86538714,0.8313253,0.20481928
permute,location_cand,36,-1.004441,0.6421053,0.110526316
permute,location_cand,37,-0.98903847,0.52517986,0.02877698
permute,location_cand,38,-0.9997739,0.5591182,0.078156315
permute,location_cand,39,-0.9997427,0.44444445,0.071428575
permute,location_cand,40,-0.9992126,0.512,0.06
permute,location_cand,41,-1.0001551,0.49285713,0.071428575
permute,location_cand,42,-0.99970806,0.50775194,0.054263566
permute,location_cand,43,-0.9019487,0.7569444,0.1736111
permute,location_cand,44,-0.88840276,0.75,0.19166666
permute,location_cand,45,-0.9600686,0.6510989,0.1456044
permute,location_cand,46,-0.9637128,0.7285714,0.07619048
permute,location_cand,47,-0.94929224,0.7268171,0.05263158
permute,location_cand,48,-1.009467,0.5837838,0.048648648
permute,location_cand,49,-0.9684017,0.5879121,0.20054945
permute,location_cand,50,-0.9598517,0.63432837,0.17661692
permute,location_cand,51,-0.9424746,0.6862069,0.17586207
permute,location_cand,52,-0.96151865,0.7175,0.1025
permute,location_cand,53,-0.9832185,0.58677685,0.10743801
permute,location_cand,54,-0.67033327,0.88,0.39
permute,location_cand,55,-0.6596246,0.9,0.426
permute,location_cand,56,-0.7543086,0.838,0.328
permute,location_cand,57,-0.679325,0.872,0.384
permute,location_cand,58,-0.6376731,0.914,0.328
permute,location_cand,59,-0.7315324,0.88,0.52
permute,location_cand,60,-0.58071125,0.9518072,0.33333334
permute,location_cand,61,-0.6227044,0.95454544,0.29545453
permute,location_cand,62,-0.60365975,0.9489051,0.29927006
permute,location_cand,63,-0.58975995,0.95652175,0.3416149
permute,location_cand,64,-0.7785245,0.74285716,0.35
permute,location_cand,65,-0.66080296,0.9785714,0.275
permute,location_cand,66,-0.5878928,0.886076,0.48734176
permute,location_cand,67,-0.697719,0.96825397,0.30952382
permute,location_cand,68,-0.66968393,1.0,0.43548387
permute,location_cand,69,-0.8029675,0.832,0.322
permute,location_cand,70,-0.74635625,0.90262175,0.52059925
permute,location_cand,71,-0.9452988,0.75736964,0.2154195
permute,location_cand,72,-0.6103346,0.94311374,0.4071856
permute,location_cand,73,-0.8308519,0.84431136,0.18862276
permute,location_cand,74,-0.57489717,0.98802394,0.26347306
permute,location_cand,75,-0.99909806,0.47565544,0.06741573
permute,location_cand,76,-0.99740463,0.4979757,0.0708502
permute,location_cand,77,-0.99864334,0.5,0.04945055
permute,location_cand,78,-0.99692065,0.4160584,0.08029197
permute,location_cand,79,-1.0028473,0.5151515,0.09427609
permute,location_cand,80,-0.9975504,0.5388349,0.04368932
permute,location_cand,81,-0.9989192,0.476,0.072
permute,location_cand,82,-0.99807984,0.522,0.054
permute,location_cand,83,-0.98332876,0.6165803,0.0880829
permute,location_cand,84,-0.767593,0.8815789,0.25
permute,location_cand,85,-0.96056163,0.7083333,0.1875
permute,location_cand,86,-0.64227235,0.921875,0.515625
permute,location_cand,87,-1.058897,0.557971,0.18115942
permute,location_cand,88,-1.040088,0.63372093,0.15116279
permute,location_cand,89,-0.8173286,0.8787879,0.29545453
permute,location_cand,90,-1.2022882,0.6504065,0.07317073
permute,location_cand,91,-0.66213584,0.82564104,0.34358975
permute,location_cand,92,-0.92445004,0.7063712,0.17728531
permute,location_cand,93,-0.9300144,0.7579618,0.21019109
permute,location_cand,94,-0.9919131,0.5657143,0.08
permute,location_cand,95,-0.96851355,0.6536585,0.09756097
permute,location_cand,96,-1.0011638,0.59310347,0.062068965
permute,location_cand,97,-0.99482715,0.6,0.083333336
permute,location_cand,98,-0.9742895,0.6628571,0.15428571
permute,location_cand,99,-1.002751,0.5061425,0.1056511
permute,location_cand,100,-1.0141339,0.53409094,0.06818182
permute,location_cand,101,-1.0056833,0.5683453,0.107913665
permute,location_cand,102,-0.66128916,0.9153846,0.41538462
permute,location_cand,103,-0.6477648,0.84347826,0.41304347
permute,location_cand,104,-0.65978706,0.9366197,0.35211268
permute,location_cand,105,-0.7032378,0.80487806,0.3512195
permute,location_cand,106,-0.7320261,0.8787879,0.33333334
permute,location_cand,107,-0.6005208,0.77310926,0.5042017
permute,location_cand,108,-0.6585568,0.8833819,0.37900874
permute,location_cand,109,-0.6375753,0.83295196,0.44851258
permute,location_cand,110,-0.80621177,0.82835823,0.31343284
permute,location_cand,111,-0.63944507,0.82312924,0.42857143
permute,location_cand,112,-0.68074733,0.8637993,0.3655914
permute,location_cand,113,-0.8132484,0.87,0.274
permute,location_cand,114,-0.8001082,0.856,0.22
permute,location_cand,115,-0.8162121,0.85106385,0.26595744
permute,location_cand,116,-0.9062372,0.7326203,0.22459893
permute,location_cand,117,-0.88055843,0.7364341,0.18604651
permute,location_cand,118,-0.9049389,0.74666667,0.21666667
permute,location_cand,119,-0.88955575,0.7652439,0.18902439
permute,location_cand,120,-0.93796104,0.7058824,0.16862746
permute,location_cand,121,-0.95532185,0.6826923,0.10576923
permute,location_cand,122,-0.80714,0.830303,0.3090909
permute,location_cand,123,-0.8989576,0.7815126,0.14285715
permute,location_cand,124,-0.9356157,0.74380165,0.11570248
permute,location_cand,125,-0.97279406,0.60645163,0.13870968
permute,location_cand,126,-0.961764,0.67479676,0.10569106
permute,location_cand,127,-0.8239026,0.87058824,0.2647059
permute,location_cand,128,-0.6628483,0.9047619,0.26984128
permute,location_cand,129,-0.7864812,0.83815026,0.27745664
permute,location_cand,130,-0.93423516,0.7287449,0.12955466
permute,location_cand,131,-0.8053076,0.78,0.248
permute,location_cand,132,-0.87130743,0.77692306,0.16153847
permute,location_cand,133,-0.71267337,0.8513514,0.41216215
permute,location_cand,134,-0.53938586,0.9517685,0.4630225
permute,location_cand,135,-0.6053645,0.9324324,0.4436937
permute,location_cand,136,-0.5325689,0.944,0.516
permute,location_cand,137,-0.333704,0.9574468,0.7659575
permute,location_cand,138,-0.7253186,0.9236277,0.3078759
permute,location_cand,139,-0.9564945,0.668,0.154
permute,location_cand,140,-0.9370832,0.744,0.132
permute,location_cand,141,-0.92760515,0.72897196,0.12772585
permute,location_cand,142,-0.9877675,0.61650485,0.0776699
permute,location_cand,143,-1.000347,0.62222224,0.096296296
permute,location_cand,144,-0.9217777,0.7723577,0.1300813
permute,location_cand,145,-0.95492077,0.67391306,0.13043478
permute,location_cand,146,-0.99261093,0.6048387,0.09677419
permute,location_cand,147,-0.9874606,0.60238093,0.09047619
permute,location_cand,148,-0.95435923,0.666,0.154
permute,location_cand,149,-0.9896023,0.604,0.106
permute,location_cand,150,-0.9617902,0.6594203,0.12801932
median,location_cand,0,-0.6657326,0.87635577,0.38611713
median,location_cand,1,-0.75827664,0.8042553,0.3531915
median,location_cand,2,-0.68041366,0.9206349,0.4563492
median,location_cand,3,-0.89859605,0.7051282,0.1965812
median,location_cand,4,-0.8505229,0.779661,0.16949153
median,location_cand,5,-0.82364714,0.795082,0.19262294
median,location_cand,6,-0.87486726,0.795082,0.13934426
median,location_cand,7,-0.8740399,0.8196721,0.20081967
median,location_cand,8,-0.830436,0.7113402,0.19587629
median,location_cand,9,-0.84754384,0.68333334,0.2
median,location_cand,10,-0.8451918,0.79916316,0.22175732
median,location_cand,11,-0.5462514,0.94699645,0.37102473
median,location_cand,12,-0.92405945,0.7366255,0.17283951
median,location_cand,13,-0.9338176,0.668,0.068
median,location_cand,14,-0.9003473,0.792,0.184
median,location_cand,15,-0.884675,0.75977653,0.23463687
median,location_cand,16,-0.85429966,0.7181009,0.2908012
median,location_cand,17,-0.7587764,0.93782383,0.24870466
median,location_cand,18,-0.91245556,0.79693484,0.20689656
median,location_cand,19,-0.91572374,0.7586207,0.18534483
median,location_cand,20,-0.9055916,0.7715736,0.14213198
median,location_cand,21,-0.9834348,0.706,0.124
median,location_cand,22,-0.9357941,0.74545455,0.16363636
median,location_cand,23,-0.9549064,0.68356997,0.15010142
median,location_cand,24,-0.86886394,0.86752135,0.08974359
median,location_cand,25,-0.9124246,0.7620818,0.15241636
median,location_cand,26,-0.9856555,0.7290503,0.11452514
median,location_cand,27,-0.8755633,0.8578199,0.12796208
median,location_cand,28,-0.8201405,0.8251748,0.24475524
median,location_cand,29,-0.64024115,0.9264305,0.35149863
median,location_cand,30,-0.7877998,0.834,0.286
median,location_cand,31,-0.80016875,0.94,0.16
median,location_cand,32,-0.8415745,0.83146065,0.21910113
median,location_cand,33,-0.71410614,0.83516484,0.2802198
median,location_cand,34,-0.62958175,0.9300699,0.3846154
median,location_cand,35,-0.8654685,0.82530123,0.19879518
median,location_cand,36,-1.0044409,0.6421053,0.110526316
median,location_cand,37,-0.9890383,0.5323741,0.02877698
median,location_cand,38,-0.999774,0.56112224,0.0761523
median,location_cand,39,-0.99974275,0.44444445,0.071428575
median,location_cand,40,-0.99921274,0.514,0.06
median,location_cand,41,-1.0001551,0.49285713,0.071428575
median,location_cand,42,-0.9997083,0.50775194,0.054263566
median,location_cand,43,-0.90195805,0.7569444,0.1736111
median,location_cand,44,-0.8884138,0.75,0.19166666
median,location_cand,45,-0.9600638,0.6510989,0.1456044
median,location_cand,46,-0.96372396,0.7285714,0.07619048
median,location_cand,47,-0.94928896,0.7268171,0.05263158
median,location_cand,48,-1.0094748,0.5837838,0.048648648
